acao,CAGR LUCROS 5 ANOS,CAGR RECEITAS 5 ANOS,DIVIDEND YIELD (DY),DÍVIDA BRUTA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBIT,DÍVIDA LÍQUIDA / EBITDA,EV/EBIT,EV/EBITDA,GIRO ATIVOS,LIQUIDEZ CORRENTE,LPA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,MARGEM LÍQUIDA,P/ATIVO,P/ATIVO CIRC LIQ,P/CAP.GIRO,P/EBIT,P/EBITDA,P/L,P/RECEITA (PSR),P/VP,PASSIVOS / ATIVOS,PATRIMÔNIO / ATIVOS,PAYOUT,ROA,ROE,ROIC,VPA,ROIC_Atual,ROIC_2023
amar3,0.0,-3.4400000000000004,0.0,1.82,62.7875,0.11250000000000027,145.0825,5.9025,0.7224999999999999,1.2725,-0.735,42.4675,-4.505,-0.7475000000000002,-10.29,0.58,-1.3175000000000001,4.880000000000001,82.29750000000001,5.7875000000000005,-16.294999999999998,0.8375,1.9225,0.72,0.26999999999999996,0.0,-7.2524999999999995,-33.5625,-6.185,2.8649999999999998,-60.47,-60.47
ambp3,0.0,0.0,0.4175,2.5125,2.0275,1.595,16.665,11.54,0.2925,2.3275,0.37749999999999995,17.155,17.875,24.4675,4.12,1.125,-2.1075,4.8774999999999995,14.6375,9.945,50.6825,2.845,4.23,0.4625,0.19749999999999998,22.5775,1.895,7.0225,8.235,4.105,8.18,8.18
amer3,0.0,13.3025,1.6075,0.4674999999999999,14.16,2.9825,254.615,48.169999999999995,0.5499999999999999,1.7225,-3.5725000000000002,26.85,-5.905,0.8099999999999996,-13.602500000000001,1.8675,-5.107500000000001,5.4775,240.45250000000001,45.18749999999999,-112.5775,4.180000000000001,4.635000000000001,0.9275,0.07250000000000004,-1.085,-10.737499999999999,-13.1925,50.974999999999994,1.2349999999999985,129.53,0.0
anim3,-8.2625,18.052500000000002,0.0175,1.62,9.1175,3.8874999999999997,19.3675,8.525,0.35000000000000003,2.1225,-0.2125,51.3825,9.92,22.7225,-2.4699999999999998,0.35,-0.48249999999999993,14.8625,10.25,4.640000000000001,-58.1525,0.9974999999999999,1.1400000000000001,0.655,0.335,-2.42,-0.49999999999999994,-2.6025,2.8825,9.120000000000001,6.93,6.93
aper3,-7.7925,-1.21,0.10500000000000001,0.0,1.6924999999999997,-4.145,-21.1675,17.105,0.325,1.6875,0.7175,90.70249999999999,0.4175,14.5075,4.0024999999999995,0.915,-1.3175000000000001,8.4725,-22.862499999999997,21.250000000000004,-76.42000000000002,2.7975,1.4949999999999999,0.39749999999999996,0.6075,-20.8975,1.2275,2.0374999999999996,-1.0150000000000001,24.442500000000003,3.57,3.57
apti4,21.035,-6.279999999999999,4.37,0.20750000000000002,-1.7775,0.0,-2.54,0.0,0.07,3.2600000000000002,119.93999999999994,73.66499999999999,43.2375,0.0,52.875,0.09,-0.1375,0.37749999999999995,-0.6599999999999999,0.0,-1.3825,1.8199999999999998,0.19,0.41,0.4925,-18.33,0.3749999999999998,-0.11249999999999982,-5.102499999999999,12602.4325,5.1,5.1
arml3,0.0,0.0,0.9425,2.56,2.77,1.9575,20.49,14.41,0.28500000000000003,2.8049999999999997,0.155,46.585,25.942500000000003,36.7825,17.6975,0.8474999999999999,-1.7775,2.3200000000000003,17.7225,12.455,83.7675,5.8999999999999995,2.57,0.7375,0.2625,40.5275,6.27,28.1225,4.359999999999999,1.7225000000000001,12.46,12.46
arzz3,9.9125,16.27,1.5175,0.3,2.0149999999999997,1.1750000000000003,38.64,24.4425,0.92,1.5925,2.2775,49.96,11.74,15.9625,8.4225,3.0225,-7.7925,25.91,36.625,23.269999999999996,60.68,3.3825000000000003,5.937499999999999,0.4875,0.5125,76.575,8.3375,16.22,15.2825,14.280000000000001,13.43,13.43
asai3,0.0,0.0,0.42,3.2275,3.905,2.7975,7.91,5.8625,1.4649999999999999,0.9274999999999999,2.7824999999999998,16.759999999999998,5.822500000000001,8.305,3.4375,0.355,-0.56,31.275000000000002,4.0075,3.065,8.1125,0.22499999999999998,3.2725,0.86,0.1225,5.7775,5.3149999999999995,50.855000000000004,15.925,9.1,15.79,15.79
atmp3,0.0,-18.84,0.0,0.004999999999999893,-1.73,-29.86,-2.2475,-36.85750000000001,0.545,0.4275,-11.4975,-4.4175,-25.9775,-13.0525,-38.105000000000004,0.0675,-0.08499999999999999,-0.3425,-0.5175,-6.995,-0.36000000000000004,0.11750000000000001,-0.18000000000000002,1.0325,-0.0325,0.0,-19.765,-155.8925,-127.83000000000001,-1.3450000000000002,-42.6,-42.6
