"Ticker","Nome","Negócios","Última (R$)","Variação"
"PORT3","Wilson Sons","835.800","16,75","-0,30%"
"ABCB4","Banco ABC Brasil","822.400","22,95","+2,91%"
"CAML3","Camil Alimentos","754.400","8,00","+0,50%"
"AGRO3","BrasilAgro","746.700","26,63","+6,18%"
"PLPL3","Plano&Plano","708.700","11,64","+2,56%"
"ENJU3","Enjoei","706.900","1,98","+1,02%"
"VULC3","Vulcabras","692.200","15,94","+0,25%"
"EVEN3","Even","687.800","7,26","-1,36%"
"KRSA3","Kora Saúde","678.000","0,76","+8,57%"
"HBRE3","HBR Realty","674.100","5,30","+2,71%"
"SEER3","Ser Educacional","662.300","5,40","+2,47%"
"MDIA3","M. Dias Branco","646.600","34,30","+0,23%"
"PFRM3","Profarma","627.800","5,74","+5,32%"
"KLBN4","Klabin","626.500","4,93","+1,65%"
"MBLY3","Mobly","614.800","2,37","+3,04%"
"AMAR3","Lojas Marisa","604.300","1,67","+7,05%"
"TUPY3","Tupy","585.900","26,93","-0,59%"
"LAVV3","Lavvi Incorporadora","584.400","8,60","-0,35%"
"TASA4","Taurus","574.800","12,31","+1,74%"
"TRIS3","Trisul","571.700","4,58","-0,87%"
"VVEO3","Viveo","557.000","6,34","+0,16%"
"PTBL3","Portobello","542.200","6,03","+2,38%"
"PINE4","PINE","508.300","4,61","+2,44%"
"SHUL4","Schulz","499.500","6,14","-1,76%"
"BIOM3","Biomm","473.300","17,10","+5,43%"
"DASA3","Dasa","458.900","4,24","+0,71%"
"RNEW4","Renova Energia","455.800","1,01","-0,98%"
"PRNR3","Priner","448.300","12,57","+0,56%"
"BMGB4","Banco BMG","405.000","3,35","+1,52%"
"NGRD3","Neogrid","384.200","1,03","+5,10%"
"UNIP6","Unipar","379.400","56,35","-6,80%"
"HBOR3","Helbor","375.400","2,65","+1,92%"
"CMIG3","CEMIG","370.100","15,21","+0,66%"
"PNVL3","Dimed","359.800","11,13","-0,09%"
"WIZC3","Wiz Soluções","358.000","7,14","+0,99%"
"VITT3","Vittia","351.500","5,59","-0,89%"
"BMOB3","Bemobi","339.900","12,50","+0,40%"
"LIGT3","Light","307.800","5,10","-0,20%"
"SYNE3","SYN","305.500","8,60","+1,42%"
"ROMI3","Indústrias ROMI","305.200","10,90","-0,09%"
"ITUB3","Itaú Unibanco","304.800","27,43","-0,40%"
"LEVE3","Mahle Metal Leve","296.800","33,41","+1,74%"
"AGXY3","AgroGalaxy","295.700","1,80","-4,26%"
"MEAL3","IMC Alimentação","295.000","1,52","+0,66%"
"SANB4","Banco Santander","294.900","14,31","+2,43%"
"AZEV3","Azevedo & Travassos","287.500","1,47","+1,38%"
"RSID3","Rossi Residencial","282.000","5,29","+12,79%"
"JSLG3","JSL","267.700","12,43","+2,64%"
"TECN3","Technos","259.100","4,59","+6,50%"
"OIBR4","Oi","258.000","1,87","-2,09%"
"USIM3","Usiminas","239.800","9,51","+3,26%"
"VLID3","Valid","237.700","17,62","-0,11%"
"BLAU3","Blau Farmacêutica","227.200","10,29","+0,39%"
"KLBN3","Klabin","227.000","4,88","+1,24%"
"DMVF3","D1000 Varejo Farma","201.300","8,17","+5,15%"
"ETER3","Eternit","200.200","7,68","+2,26%"
"FRAS3","Fras-le","199.900","17,83","+1,89%"
"TAEE4","Taesa","180.000","11,92","+0,08%"
"ORVR3","Orizon","173.700","36,00","+0,28%"
"CSED3","Cruzeiro do Sul Educacional","169.300","3,67","+2,23%"
"SAPR3","Sanepar","168.600","4,84","+1,89%"
"TRAD3","Traders Club","167.200","0,77","-1,28%"
"CAMB3","Cambuci","166.900","10,30","-2,83%"
"SANB3","Banco Santander","165.700","12,62","+2,10%"
"PMAM3","Paranapanema","163.500","2,65","-7,34%"
"LUPA3","Lupatech","155.600","1,58","+0,64%"
"ALLD3","Allied","149.200","7,50","-1,45%"
"TGMA3","Tegma","148.200","24,50","-0,20%"
"LOGG3","LOG CP","139.400","21,69","+1,31%"
"LPSB3","Lopes","138.100","2,05","+0,49%"
"AALR3","Alliança","130.200","10,03","+0,40%"
"DESK3","Desktop","116.900","12,91","-1,22%"
"SGPS3","Springs","116.000","0,75","+0,00%"
"FIQE3","Unifique","102.800","3,78","+0,80%"
